îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2014/5/1,01:00,0.0, ,183290, ,15.83, ,0.00, ,97.0, 
2014/5/1,02:00,0.0, ,183340, ,12.61, ,0.00, ,97.0, 
2014/5/1,03:00,0.0, ,183400, ,5.10, ,0.00, ,97.0, 
2014/5/1,04:00,0.0, ,183400, ,14.77, ,0.00, ,97.0, 
2014/5/1,05:00,0.0, ,183400, ,0.00, ,0.00, ,97.0, 
2014/5/1,06:00,0.0, ,183460, ,9.67, ,0.00, ,97.0, 
2014/5/1,07:00,0.0, ,183460, ,6.44, ,0.00, ,97.0, 
2014/5/1,08:00,0.0, ,183460, ,0.00, ,0.00, ,96.9, 
2014/5/1,09:00,0.0, ,183520, ,6.98, ,0.00, ,97.0, 
2014/5/1,10:00,0.0, ,183580, ,15.30, ,0.00, ,97.0, 
2014/5/1,11:00,0.0, ,183630, ,15.04, ,0.00, ,97.0, 
2014/5/1,12:00,0.0, ,183690, ,14.78, ,0.00, ,97.0, 
2014/5/1,13:00,0.0, ,183690, ,12.36, ,0.00, ,97.0, 
2014/5/1,14:00,0.0, ,183750, ,14.78, ,0.00, ,97.0, 
2014/5/1,15:00,0.0, ,183810, ,14.51, ,0.00, ,97.0, 
2014/5/1,16:00,0.0, ,183870, ,15.05, ,0.00, ,97.0, 
2014/5/1,17:00,0.0, ,183920, ,15.32, ,0.00, ,97.0, 
2014/5/1,18:00,0.0, ,183980, ,14.25, ,0.00, ,97.0, 
2014/5/1,19:00,0.0, ,184040, ,14.79, ,0.00, ,97.1, 
2014/5/1,20:00,0.0, ,184100, ,13.45, ,0.00, ,97.1, 
2014/5/1,21:00,0.0, ,184160, ,13.99, ,0.00, ,97.1, 
2014/5/1,22:00,0.0, ,184160, ,12.91, ,0.00, ,97.1, 
2014/5/1,23:00,0.0, ,184210, ,15.60, ,0.00, ,97.1, 
2014/5/1,24:00,0.0, ,184270, ,12.91, ,0.00, ,97.0, 
2014/5/2,01:00,0.0, ,184330, ,11.57, ,0.00, ,97.1, 
2014/5/2,02:00,0.0, ,184390, ,9.42, ,0.00, ,97.1, 
2014/5/2,03:00,0.0, ,184390, ,15.07, ,0.00, ,97.0, 
2014/5/2,04:00,0.0, ,184390, ,0.00, ,0.00, ,97.0, 
2014/5/2,05:00,0.0, ,184450, ,14.00, ,0.00, ,97.0, 
2014/5/2,06:00,0.0, ,184450, ,2.15, ,0.00, ,97.0, 
2014/5/2,07:00,0.0, ,184450, ,0.00, ,0.00, ,97.0, 
2014/5/2,08:00,0.0, ,184510, ,2.69, ,0.00, ,97.0, 
2014/5/2,09:00,0.0, ,184510, ,13.46, ,0.30, ,97.0, 
2014/5/2,10:00,0.0, ,184510, ,9.05, ,18.10, ,97.0, 
2014/5/2,11:00,0.0, ,184450, ,23.09, ,35.20, ,96.9, 
2014/5/2,12:00,0.0, ,184450, ,14.02, ,11.50, ,96.9, 
2014/5/2,13:00,0.0, ,184450, ,9.10, ,0.00, ,96.9, 
2014/5/2,14:00,0.0, ,184510, ,0.27, ,0.00, ,96.9, 
2014/5/2,15:00,0.0, ,184510, ,15.88, ,0.00, ,96.9, 
2014/5/2,16:00,0.0, ,184560, ,12.93, ,0.00, ,96.9, 
2014/5/2,17:00,0.0, ,184620, ,10.23, ,0.00, ,96.9, 
2014/5/2,18:00,0.0, ,184680, ,17.78, ,1.10, ,96.9, 
2014/5/2,19:00,0.0, ,184680, ,16.64, ,18.30, ,96.9, 
2014/5/2,20:00,0.0, ,184620, ,23.13, ,35.20, ,96.8, 
2014/5/2,21:00,0.0, ,184560, ,15.13, ,35.10, ,96.8, 
2014/5/2,22:00,0.0, ,184510, ,12.90, ,28.50, ,96.7, 
2014/5/2,23:00,0.0, ,184510, ,11.67, ,0.00, ,96.7, 
2014/5/2,24:00,0.0, ,184510, ,0.00, ,0.00, ,96.7, 
2014/5/3,01:00,0.0, ,184560, ,14.01, ,0.00, ,96.7, 
2014/5/3,02:00,0.0, ,184620, ,11.31, ,0.00, ,96.7, 
2014/5/3,03:00,0.0, ,184620, ,7.00, ,0.00, ,96.7, 
2014/5/3,04:00,0.0, ,184620, ,0.00, ,0.00, ,96.7, 
2014/5/3,05:00,0.0, ,184680, ,7.27, ,0.00, ,96.7, 
2014/5/3,06:00,0.0, ,184680, ,8.89, ,0.00, ,96.7, 
2014/5/3,07:00,0.0, ,184680, ,0.00, ,0.00, ,96.6, 
2014/5/3,08:00,0.0, ,184680, ,0.00, ,0.00, ,96.6, 
2014/5/3,09:00,0.0, ,184740, ,8.89, ,0.00, ,96.6, 
2014/5/3,10:00,0.0, ,184740, ,7.27, ,0.00, ,96.6, 
2014/5/3,11:00,0.0, ,184800, ,13.48, ,0.00, ,96.6, 
2014/5/3,12:00,0.0, ,184850, ,14.82, ,0.00, ,96.6, 
2014/5/3,13:00,0.0, ,184970, ,22.91, ,0.00, ,96.7, 
2014/5/3,14:00,0.0, ,184970, ,13.48, ,0.00, ,96.7, 
2014/5/3,15:00,0.0, ,185030, ,12.67, ,0.00, ,96.7, 
2014/5/3,16:00,0.0, ,185090, ,4.85, ,0.00, ,96.7, 
2014/5/3,17:00,0.0, ,185090, ,14.83, ,3.30, ,96.7, 
2014/5/3,18:00,0.0, ,185090, ,14.84, ,31.50, ,96.7, 
2014/5/3,19:00,0.0, ,184910, ,19.04, ,57.50, ,96.5, 
2014/5/3,20:00,0.0, ,184800, ,12.82, ,58.90, ,96.4, 
2014/5/3,21:00,0.0, ,184620, ,19.67, ,45.70, ,96.3, 
2014/5/3,22:00,0.0, ,184620, ,9.68, ,23.80, ,96.3, 
2014/5/3,23:00,0.0, ,184620, ,11.94, ,0.00, ,96.3, 
2014/5/3,24:00,0.0, ,184620, ,0.00, ,0.00, ,96.3, 
2014/5/4,01:00,0.0, ,184680, ,3.77, ,0.00, ,96.3, 
2014/5/4,02:00,0.0, ,184680, ,12.39, ,0.00, ,96.3, 
2014/5/4,03:00,0.0, ,184740, ,9.16, ,0.00, ,96.3, 
2014/5/4,04:00,0.0, ,184740, ,7.00, ,0.00, ,96.3, 
2014/5/4,05:00,0.0, ,184740, ,0.00, ,0.00, ,96.2, 
2014/5/4,06:00,0.0, ,184740, ,0.00, ,0.00, ,96.2, 
2014/5/4,07:00,0.0, ,184800, ,7.55, ,0.00, ,96.2, 
2014/5/4,08:00,0.0, ,184800, ,8.62, ,0.00, ,96.2, 
2014/5/4,09:00,0.0, ,184800, ,0.00, ,0.00, ,96.2, 
2014/5/4,10:00,0.0, ,184850, ,8.35, ,0.00, ,96.2, 
2014/5/4,11:00,0.0, ,184910, ,10.51, ,0.00, ,96.2, 
2014/5/4,12:00,0.0, ,184970, ,15.36, ,0.00, ,96.2, 
2014/5/4,13:00,0.0, ,184970, ,14.28, ,0.00, ,96.2, 
2014/5/4,14:00,0.0, ,185030, ,13.75, ,0.00, ,96.2, 
2014/5/4,15:00,0.0, ,185090, ,8.90, ,0.00, ,96.2, 
2014/5/4,16:00,0.0, ,185150, ,12.94, ,0.00, ,96.2, 
2014/5/4,17:00,0.0, ,185150, ,12.95, ,3.30, ,96.2, 
2014/5/4,18:00,0.0, ,185150, ,14.88, ,31.50, ,96.2, 
2014/5/4,19:00,0.0, ,184970, ,20.36, ,57.40, ,96.1, 
2014/5/4,20:00,0.0, ,184800, ,15.77, ,58.70, ,96.0, 
2014/5/4,21:00,0.0, ,184680, ,12.08, ,58.10, ,95.9, 
2014/5/4,22:00,0.0, ,184560, ,14.96, ,29.90, ,95.8, 
2014/5/4,23:00,0.0, ,184560, ,2.91, ,0.00, ,95.8, 
