îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2020/9/1,01:00,0.0, ,154370, ,14.66, ,18.60, ,94.7, 
2020/9/1,02:00,0.0, ,154370, ,4.47, ,18.60, ,94.7, 
2020/9/1,03:00,0.0, ,154320, ,15.92, ,18.60, ,94.7, 
2020/9/1,04:00,0.0, ,154320, ,6.69, ,18.60, ,94.7, 
2020/9/1,05:00,0.0, ,154320, ,9.39, ,0.00, ,94.7, 
2020/9/1,06:00,0.0, ,154320, ,0.00, ,0.00, ,94.7, 
2020/9/1,07:00,0.0, ,154370, ,8.75, ,0.00, ,94.7, 
2020/9/1,08:00,0.0, ,154370, ,18.42, ,25.10, ,94.7, 
2020/9/1,09:00,0.0, ,154320, ,25.14, ,33.10, ,94.7, 
2020/9/1,10:00,0.0, ,154210, ,13.84, ,46.50, ,94.6, 
2020/9/1,11:00,0.0, ,154110, ,11.12, ,33.90, ,94.5, 
2020/9/1,12:00,0.0, ,154060, ,13.92, ,33.90, ,94.5, 
2020/9/1,13:00,0.0, ,153950, ,12.47, ,33.80, ,94.4, 
2020/9/1,14:00,0.0, ,153800, ,8.92, ,62.10, ,94.3, 
2020/9/1,15:00,0.0, ,153590, ,9.39, ,62.70, ,94.2, 
2020/9/1,16:00,0.0, ,153380, ,6.69, ,62.60, ,94.0, 
2020/9/1,17:00,0.0, ,153170, ,5.74, ,62.60, ,93.9, 
2020/9/1,18:00,0.0, ,152960, ,6.06, ,62.80, ,93.8, 
2020/9/1,19:00,0.0, ,152750, ,6.22, ,62.60, ,93.6, 
2020/9/1,20:00,0.1, ,152540, ,5.45, ,62.50, ,93.5, 
2020/9/1,21:00,0.0, ,152380, ,14.08, ,62.50, ,93.4, 
2020/9/1,22:00,0.0, ,152230, ,15.76, ,63.30, ,93.3, 
2020/9/1,23:00,0.2, ,152070, ,10.85, ,51.10, ,93.1, 
