îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2013/3/1,01:00,0.0, ,144930, ,10.33, ,0.00, ,100.0, 
2013/3/1,02:00,0.0, ,144930, ,9.62, ,0.00, ,99.9, 
2013/3/1,03:00,0.0, ,144980, ,13.38, ,0.00, ,99.9, 
2013/3/1,04:00,0.0, ,145030, ,2.58, ,0.00, ,99.9, 
2013/3/1,05:00,0.0, ,145030, ,12.21, ,0.00, ,99.8, 
2013/3/1,06:00,0.0, ,145080, ,8.45, ,0.00, ,99.8, 
2013/3/1,07:00,0.0, ,145130, ,10.33, ,0.00, ,99.7, 
2013/3/1,08:00,0.0, ,145130, ,9.39, ,0.00, ,99.7, 
2013/3/1,09:00,0.0, ,145180, ,10.11, ,0.00, ,99.7, 
2013/3/1,10:00,0.2, ,145230, ,9.88, ,0.00, ,99.6, 
2013/3/1,11:00,0.7, ,145280, ,17.66, ,0.00, ,99.6, 
2013/3/1,12:00,0.8, ,145330, ,11.07, ,0.00, ,99.6, 
2013/3/1,13:00,1.4, ,145430, ,18.37, ,0.00, ,99.5, 
2013/3/1,14:00,2.6, ,145490, ,20.97, ,0.00, ,99.5, 
2013/3/1,15:00,6.2, ,145540, ,20.27, ,0.00, ,99.5, 
2013/3/1,16:00,4.5, ,145640, ,27.11, ,0.00, ,99.4, 
2013/3/1,17:00,2.4, ,145740, ,25.23, ,0.00, ,99.4, 
2013/3/1,18:00,2.6, ,145840, ,28.78, ,0.00, ,99.4, 
2013/3/1,19:00,0.7, ,145940, ,27.61, ,0.00, ,99.3, 
2013/3/1,20:00,0.0, ,146100, ,29.27, ,0.00, ,99.3, 
2013/3/1,21:00,0.0, ,146200, ,33.30, ,0.00, ,99.2, 
2013/3/1,22:00,0.0, ,146300, ,32.60, ,0.00, ,99.2, 
