îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2011/10/1,01:00,0.0, ,183170, ,18.37, ,18.50, ,100.0, 
2011/10/1,02:00,0.0, ,183110, ,15.96, ,18.10, ,99.9, 
2011/10/1,03:00,0.0, ,183110, ,4.74, ,18.40, ,99.9, 
2011/10/1,04:00,0.0, ,183050, ,3.93, ,18.40, ,99.9, 
2011/10/1,05:00,0.0, ,183000, ,16.51, ,18.60, ,99.8, 
2011/10/1,06:00,0.0, ,183000, ,2.58, ,18.20, ,99.8, 
2011/10/1,07:00,0.0, ,182940, ,9.02, ,18.20, ,99.8, 
2011/10/1,08:00,0.0, ,182940, ,11.70, ,18.30, ,99.8, 
2011/10/1,09:00,0.0, ,182880, ,5.55, ,18.40, ,99.7, 
2011/10/1,10:00,0.0, ,182880, ,15.19, ,18.10, ,99.7, 
2011/10/1,11:00,0.0, ,182820, ,15.22, ,18.30, ,99.7, 
2011/10/1,12:00,0.0, ,182820, ,5.57, ,18.20, ,99.6, 
2011/10/1,13:00,0.0, ,182820, ,18.43, ,18.20, ,99.6, 
2011/10/1,14:00,0.0, ,182770, ,17.62, ,18.40, ,99.6, 
2011/10/1,15:00,0.0, ,182770, ,3.18, ,18.80, ,99.5, 
2011/10/1,16:00,0.0, ,182770, ,18.42, ,18.50, ,99.5, 
2011/10/1,17:00,0.0, ,182770, ,18.42, ,18.20, ,99.5, 
2011/10/1,18:00,0.0, ,182770, ,18.40, ,18.40, ,99.4, 
2011/10/1,19:00,0.0, ,182710, ,5.83, ,18.40, ,99.4, 
2011/10/1,20:00,0.0, ,182710, ,14.92, ,18.20, ,99.4, 
2011/10/1,21:00,0.0, ,182710, ,18.43, ,18.30, ,99.4, 
2011/10/1,22:00,0.0, ,182650, ,18.12, ,18.20, ,99.3, 
2011/10/1,23:00,0.0, ,182650, ,2.63, ,18.20, ,99.3, 
2011/10/1,24:00,0.0, ,182650, ,18.44, ,18.40, ,100.0, 
2011/10/2,01:00,0.0, ,182590, ,9.59, ,18.50, ,100.0, 
2011/10/2,02:00,0.0, ,182530, ,10.14, ,18.50, ,99.9, 
2011/10/2,03:00,0.0, ,182530, ,0.20, ,0.00, ,99.9, 
2011/10/2,04:00,0.0, ,182530, ,0.00, ,0.00, ,99.9, 
2011/10/2,05:00,0.0, ,182590, ,12.83, ,0.00, ,99.8, 
2011/10/2,06:00,0.0, ,182590, ,3.25, ,2.50, ,99.8, 
2011/10/2,07:00,0.0, ,182590, ,9.27, ,18.50, ,99.8, 
2011/10/2,08:00,0.0, ,182590, ,18.42, ,18.40, ,99.8, 
2011/10/2,09:00,0.0, ,182530, ,13.33, ,18.30, ,99.7, 
2011/10/2,10:00,0.0, ,182530, ,7.47, ,18.40, ,99.7, 
2011/10/2,11:00,0.0, ,182530, ,18.43, ,18.20, ,99.7, 
2011/10/2,12:00,0.0, ,182480, ,6.14, ,18.60, ,99.6, 
2011/10/2,13:00,0.0, ,182480, ,14.68, ,18.20, ,99.6, 
2011/10/2,14:00,0.0, ,182420, ,16.82, ,18.90, ,99.6, 
2011/10/2,15:00,0.0, ,182420, ,4.00, ,18.10, ,99.5, 
2011/10/2,16:00,0.0, ,182420, ,18.44, ,18.50, ,99.5, 
2011/10/2,17:00,0.0, ,182420, ,18.43, ,18.30, ,99.5, 
2011/10/2,18:00,0.0, ,182300, ,6.52, ,34.00, ,99.5, 
2011/10/2,19:00,0.0, ,182190, ,21.84, ,55.10, ,99.4, 
2011/10/2,20:00,0.0, ,182130, ,16.36, ,37.20, ,99.4, 
2011/10/2,21:00,0.0, ,182070, ,8.65, ,18.60, ,99.4, 
2011/10/2,22:00,0.0, ,182070, ,5.43, ,0.00, ,99.3, 
2011/10/2,23:00,0.0, ,182130, ,11.47, ,0.00, ,99.3, 
2011/10/2,24:00,0.0, ,182190, ,8.54, ,0.00, ,100.0, 
2011/10/3,01:00,0.0, ,182190, ,12.02, ,0.00, ,100.0, 
2011/10/3,02:00,0.0, ,182250, ,5.07, ,0.00, ,99.9, 
2011/10/3,03:00,0.0, ,182250, ,10.95, ,0.00, ,99.9, 
2011/10/3,04:00,0.0, ,182300, ,5.61, ,0.00, ,99.9, 
2011/10/3,05:00,0.0, ,182300, ,10.41, ,0.00, ,99.8, 
2011/10/3,06:00,0.0, ,182360, ,1.07, ,0.00, ,99.8, 
2011/10/3,07:00,0.0, ,182360, ,14.96, ,0.00, ,99.8, 
2011/10/3,08:00,0.0, ,182420, ,2.40, ,0.00, ,99.8, 
2011/10/3,09:00,0.0, ,182420, ,13.63, ,0.00, ,99.7, 
2011/10/3,10:00,0.0, ,182480, ,10.15, ,0.00, ,99.7, 
2011/10/3,11:00,0.0, ,182530, ,11.76, ,0.00, ,99.7, 
2011/10/3,12:00,0.0, ,182590, ,11.76, ,0.00, ,99.6, 
2011/10/3,13:00,0.0, ,182590, ,14.49, ,3.30, ,99.6, 
2011/10/3,14:00,0.0, ,182590, ,14.39, ,28.60, ,99.6, 
2011/10/3,15:00,0.0, ,182590, ,28.39, ,28.60, ,99.5, 
2011/10/3,16:00,0.0, ,182530, ,17.70, ,28.10, ,99.5, 
2011/10/3,17:00,0.0, ,182480, ,10.71, ,28.30, ,99.5, 
2011/10/3,18:00,0.0, ,182420, ,16.64, ,29.80, ,99.5, 
2011/10/3,19:00,0.0, ,182300, ,15.18, ,50.80, ,99.4, 
2011/10/3,20:00,0.0, ,182250, ,15.97, ,22.50, ,99.4, 
2011/10/3,21:00,0.0, ,182250, ,16.07, ,18.20, ,99.4, 
2011/10/3,22:00,0.0, ,182250, ,9.30, ,0.00, ,99.3, 
2011/10/3,23:00,0.0, ,182250, ,0.00, ,0.00, ,99.3, 
2011/10/3,24:00,0.0, ,182300, ,7.74, ,0.00, ,100.0, 
2011/10/4,01:00,0.0, ,182300, ,8.28, ,0.00, ,100.0, 
2011/10/4,02:00,0.0, ,182300, ,0.00, ,0.00, ,99.9, 
2011/10/4,03:00,0.0, ,182300, ,0.00, ,0.00, ,99.9, 
2011/10/4,04:00,0.0, ,182360, ,11.22, ,0.00, ,99.9, 
2011/10/4,05:00,0.0, ,182360, ,4.81, ,0.00, ,99.8, 
2011/10/4,06:00,0.0, ,182420, ,1.34, ,0.00, ,99.8, 
2011/10/4,07:00,0.0, ,182420, ,14.69, ,0.00, ,99.8, 
2011/10/4,08:00,0.0, ,182420, ,0.00, ,0.00, ,99.8, 
2011/10/4,09:00,0.0, ,182420, ,0.00, ,0.00, ,99.7, 
2011/10/4,10:00,0.0, ,182480, ,14.69, ,0.00, ,99.7, 
2011/10/4,11:00,0.0, ,182530, ,13.09, ,0.00, ,99.7, 
2011/10/4,12:00,0.0, ,182590, ,12.29, ,0.00, ,99.6, 
2011/10/4,13:00,0.0, ,182650, ,12.61, ,2.90, ,99.6, 
2011/10/4,14:00,0.0, ,182650, ,25.86, ,28.30, ,99.6, 
2011/10/4,15:00,0.0, ,182590, ,27.56, ,28.50, ,99.5, 
2011/10/4,16:00,0.0, ,182590, ,13.15, ,28.30, ,99.5, 
2011/10/4,17:00,0.0, ,182530, ,15.29, ,28.40, ,99.5, 
2011/10/4,18:00,0.0, ,182480, ,10.94, ,29.40, ,99.5, 
