îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2016/11/1,01:00,4.1, ,172480, ,22.78, ,0.00, ,100.0, 
2016/11/1,02:00,1.9, ,172480, ,15.53, ,0.00, ,100.0, 
2016/11/1,03:00,0.7, ,172540, ,15.27, ,0.00, ,100.0, 
2016/11/1,04:00,0.3, ,172590, ,11.14, ,0.00, ,100.0, 
2016/11/1,05:00,0.1, ,172590, ,4.66, ,0.00, ,100.0, 
2016/11/1,06:00,0.0, ,172650, ,11.14, ,0.70, ,100.0, 
2016/11/1,07:00,0.0, ,172650, ,13.79, ,18.90, ,100.0, 
2016/11/1,08:00,0.0, ,172540, ,6.69, ,37.50, ,100.0, 
2016/11/1,09:00,0.0, ,172420, ,14.16, ,38.80, ,100.0, 
2016/11/1,10:00,0.0, ,172370, ,15.67, ,39.00, ,100.0, 
2016/11/1,11:00,0.0, ,172260, ,17.76, ,39.10, ,99.9, 
2016/11/1,12:00,0.0, ,172200, ,12.90, ,39.10, ,99.9, 
2016/11/1,13:00,0.0, ,172200, ,22.04, ,24.40, ,99.9, 
2016/11/1,14:00,0.0, ,172090, ,17.24, ,47.50, ,99.8, 
2016/11/1,15:00,0.0, ,171920, ,16.36, ,60.60, ,99.7, 
2016/11/1,16:00,0.0, ,171750, ,19.34, ,60.80, ,99.6, 
2016/11/1,17:00,0.0, ,171590, ,15.04, ,60.70, ,99.5, 
2016/11/1,18:00,0.0, ,171480, ,16.38, ,60.60, ,99.4, 
2016/11/1,19:00,0.0, ,171360, ,17.10, ,46.20, ,99.4, 
2016/11/1,20:00,0.0, ,171250, ,12.70, ,34.80, ,99.3, 
2016/11/1,21:00,0.0, ,171200, ,16.48, ,27.40, ,99.3, 
2016/11/1,22:00,0.0, ,171140, ,11.56, ,30.60, ,99.2, 
2016/11/1,23:00,0.0, ,171140, ,12.93, ,19.00, ,99.2, 
2016/11/1,24:00,0.0, ,171090, ,13.74, ,18.70, ,100.0, 
2016/11/2,01:00,0.0, ,171090, ,8.50, ,18.70, ,100.0, 
2016/11/2,02:00,0.0, ,171030, ,10.76, ,18.70, ,100.0, 
2016/11/2,03:00,0.0, ,170970, ,9.77, ,18.80, ,99.9, 
2016/11/2,04:00,0.0, ,170920, ,3.02, ,19.00, ,99.9, 
2016/11/2,05:00,0.0, ,170860, ,3.61, ,18.80, ,99.9, 
2016/11/2,06:00,0.0, ,170810, ,2.66, ,18.70, ,99.8, 
2016/11/2,07:00,0.0, ,170750, ,7.19, ,18.80, ,99.8, 
2016/11/2,08:00,0.0, ,170640, ,4.39, ,37.70, ,99.7, 
2016/11/2,09:00,0.0, ,170530, ,7.31, ,46.40, ,99.6, 
2016/11/2,10:00,0.0, ,170420, ,11.68, ,43.40, ,99.6, 
2016/11/2,11:00,0.0, ,170310, ,14.97, ,43.60, ,99.5, 
2016/11/2,12:00,0.0, ,170200, ,14.78, ,42.60, ,99.4, 
2016/11/2,13:00,0.0, ,170200, ,15.88, ,21.90, ,99.4, 
2016/11/2,14:00,0.0, ,170090, ,9.07, ,34.70, ,99.4, 
2016/11/2,15:00,0.0, ,169970, ,16.05, ,43.70, ,99.3, 
2016/11/2,16:00,0.0, ,169860, ,15.36, ,43.30, ,99.2, 
2016/11/2,17:00,0.0, ,169750, ,13.45, ,46.60, ,99.2, 
2016/11/2,18:00,0.0, ,169700, ,15.86, ,43.40, ,99.1, 
2016/11/2,19:00,0.0, ,169590, ,14.88, ,43.50, ,99.1, 
2016/11/2,20:00,0.0, ,169480, ,16.11, ,37.80, ,99.0, 
2016/11/2,21:00,0.0, ,169360, ,11.25, ,40.70, ,98.9, 
2016/11/2,22:00,0.0, ,169310, ,12.95, ,37.80, ,98.9, 
2016/11/2,23:00,0.0, ,169200, ,13.04, ,37.90, ,98.8, 
2016/11/2,24:00,0.0, ,169200, ,15.29, ,19.00, ,100.0, 
2016/11/3,01:00,0.0, ,169200, ,9.53, ,0.00, ,100.0, 
2016/11/3,02:00,0.0, ,169200, ,0.00, ,0.00, ,100.0, 
2016/11/3,03:00,0.0, ,169250, ,4.35, ,0.00, ,100.0, 
2016/11/3,04:00,0.0, ,169250, ,11.02, ,0.00, ,100.0, 
2016/11/3,05:00,0.0, ,169250, ,0.00, ,0.00, ,100.0, 
2016/11/3,06:00,0.0, ,169250, ,0.00, ,0.00, ,100.0, 
2016/11/3,07:00,0.0, ,169310, ,7.94, ,0.00, ,100.0, 
2016/11/3,08:00,0.0, ,169310, ,7.43, ,4.00, ,100.0, 
2016/11/3,09:00,0.0, ,169250, ,10.14, ,30.10, ,100.0, 
2016/11/3,10:00,0.0, ,169090, ,12.63, ,51.10, ,99.9, 
2016/11/3,11:00,0.0, ,169030, ,10.93, ,23.90, ,99.9, 
2016/11/3,12:00,0.0, ,169090, ,8.49, ,0.00, ,99.9, 
2016/11/3,13:00,0.0, ,169140, ,7.68, ,0.00, ,100.0, 
2016/11/3,14:00,0.0, ,169140, ,11.78, ,0.00, ,100.0, 
