îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2003/6/1,01:00,0.5, ,203000, ,378.08, ,254.78, ,100.0, 
2003/6/1,02:00,1.0, ,203310, ,347.08, ,255.72, ,100.0, 
2003/6/1,03:00,1.4, ,203490, ,307.95, ,256.14, ,100.0, 
2003/6/1,04:00,0.9, ,203610, ,254.77, ,198.98, ,100.0, 
2003/6/1,05:00,0.6, ,203980, ,267.55, ,149.76, ,100.0, 
2003/6/1,06:00,0.4, ,204410, ,257.12, ,150.30, ,100.0, 
2003/6/1,07:00,0.0, ,204720, ,242.21, ,150.58, ,100.0, 
2003/6/1,08:00,0.0, ,204970, ,215.46, ,151.04, ,100.0, 
2003/6/1,09:00,0.0, ,205210, ,219.06, ,151.62, ,100.0, 
2003/6/1,10:00,0.0, ,205400, ,205.09, ,151.88, ,100.0, 
2003/6/1,11:00,0.0, ,205520, ,195.24, ,152.28, ,100.0, 
2003/6/1,12:00,0.0, ,205650, ,187.94, ,151.96, ,100.0, 
2003/6/1,13:00,0.0, ,205710, ,184.50, ,151.94, ,100.0, 
2003/6/1,14:00,0.0, ,205710, ,152.16, ,152.04, ,100.0, 
2003/6/1,15:00,0.0, ,205770, ,175.57, ,152.24, ,100.0, 
2003/6/1,16:00,0.0, ,205770, ,152.23, ,151.94, ,100.0, 
2003/6/1,17:00,0.0, ,205710, ,136.64, ,135.64, ,100.0, 
2003/6/1,18:00,0.0, ,205710, ,135.78, ,135.64, ,100.0, 
2003/6/1,19:00,0.0, ,205710, ,135.76, ,135.94, ,100.0, 
2003/6/1,20:00,0.0, ,205710, ,135.75, ,135.54, ,100.0, 
2003/6/1,21:00,0.0, ,205650, ,112.04, ,124.92, ,100.0, 
2003/6/1,22:00,0.0, ,205580, ,98.95, ,99.54, ,100.0, 
2003/6/1,23:00,0.0, ,205580, ,99.48, ,99.24, ,100.0, 
2003/6/1,24:00,0.0, ,205650, ,110.51, ,99.28, ,100.0, 
2003/6/2,01:00,0.0, ,205650, ,99.46, ,99.78, ,100.0, 
2003/6/2,02:00,0.0, ,205710, ,132.98, ,99.42, ,100.0, 
