îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2009/6/1,01:00,0.0, ,129730, ,4.61, ,20.50, ,65.1, 
2009/6/1,02:00,0.0, ,129680, ,4.05, ,20.90, ,65.1, 
2009/6/1,03:00,0.0, ,129640, ,5.27, ,20.50, ,65.1, 
2009/6/1,04:00,0.0, ,129540, ,1.38, ,20.80, ,65.1, 
2009/6/1,05:00,0.0, ,129450, ,4.28, ,24.00, ,65.0, 
2009/6/1,06:00,0.0, ,129400, ,3.71, ,20.50, ,65.0, 
2009/6/1,07:00,0.0, ,129300, ,1.77, ,20.50, ,65.0, 
2009/6/1,08:00,0.0, ,129160, ,2.29, ,31.70, ,64.9, 
2009/6/1,09:00,0.0, ,128970, ,2.25, ,58.80, ,64.8, 
2009/6/1,10:00,0.0, ,128780, ,4.60, ,62.20, ,64.7, 
2009/6/1,11:00,0.0, ,128590, ,8.27, ,59.20, ,64.6, 
2009/6/1,12:00,0.0, ,128400, ,9.04, ,58.40, ,64.5, 
2009/6/1,13:00,0.0, ,128310, ,9.79, ,32.90, ,64.5, 
2009/6/1,14:00,0.0, ,128170, ,6.00, ,59.20, ,64.5, 
2009/6/1,15:00,0.0, ,127930, ,11.15, ,62.40, ,64.3, 
2009/6/1,16:00,0.0, ,127790, ,9.46, ,58.90, ,64.3, 
2009/6/1,17:00,0.0, ,127550, ,7.74, ,59.20, ,64.1, 
2009/6/1,18:00,0.0, ,127370, ,7.84, ,62.10, ,64.0, 
2009/6/1,19:00,0.0, ,127180, ,7.76, ,59.70, ,63.9, 
2009/6/1,20:00,0.0, ,126990, ,6.49, ,62.20, ,63.8, 
2009/6/1,21:00,0.0, ,126850, ,5.32, ,43.40, ,63.8, 
2009/6/1,22:00,0.0, ,126760, ,2.58, ,20.90, ,63.8, 
2009/6/1,23:00,0.0, ,126710, ,3.78, ,20.70, ,63.7, 
2009/6/1,24:00,0.0, ,126620, ,2.47, ,20.50, ,63.7, 
2009/6/2,01:00,0.0, ,126520, ,3.73, ,19.20, ,63.7, 
2009/6/2,02:00,0.0, ,126470, ,1.96, ,19.50, ,63.7, 
