îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2018/7/1,01:00,0.7, ,194340, ,288.54, ,207.22, ,100.0, 
2018/7/1,02:00,1.0, ,194580, ,292.53, ,208.08, ,100.0, 
2018/7/1,03:00,0.8, ,194820, ,281.48, ,208.94, ,100.0, 
2018/7/1,04:00,0.5, ,195000, ,260.50, ,209.60, ,100.0, 
2018/7/1,05:00,1.5, ,195120, ,253.70, ,210.02, ,100.0, 
2018/7/1,06:00,1.6, ,195240, ,237.80, ,210.54, ,100.0, 
2018/7/1,07:00,2.2, ,195300, ,233.15, ,210.66, ,100.0, 
2018/7/1,08:00,3.8, ,195360, ,231.76, ,210.96, ,100.0, 
2018/7/1,09:00,1.9, ,195420, ,224.55, ,211.18, ,100.0, 
2018/7/1,10:00,2.7, ,195480, ,231.15, ,211.50, ,100.0, 
2018/7/1,11:00,3.5, ,195540, ,224.71, ,211.72, ,100.0, 
2018/7/1,12:00,5.2, ,195540, ,224.34, ,211.72, ,100.0, 
2018/7/1,13:00,4.1, ,195660, ,236.53, ,219.14, ,100.0, 
2018/7/1,14:00,4.8, ,195780, ,253.64, ,249.22, ,100.0, 
2018/7/1,15:00,1.4, ,195900, ,270.08, ,259.50, ,100.0, 
2018/7/1,16:00,1.4, ,195900, ,282.46, ,269.44, ,100.0, 
2018/7/1,17:00,2.1, ,195960, ,281.80, ,269.72, ,100.0, 
2018/7/1,18:00,1.3, ,196020, ,285.60, ,279.74, ,100.0, 
2018/7/1,19:00,4.2, ,196020, ,290.45, ,288.38, ,100.0, 
2018/7/1,20:00,3.5, ,196020, ,287.21, ,288.28, ,100.0, 
2018/7/1,21:00,3.5, ,196080, ,302.33, ,288.60, ,100.0, 
2018/7/1,22:00,6.0, ,196140, ,301.32, ,299.96, ,100.0, 
2018/7/1,23:00,5.3, ,196260, ,328.41, ,323.24, ,100.0, 
2018/7/1,24:00,7.0, ,196440, ,367.86, ,358.32, ,100.0, 
2018/7/2,01:00,2.3, ,196680, ,427.68, ,416.80, ,100.0, 
2018/7/2,02:00,2.4, ,196680, ,447.89, ,448.02, ,100.0, 
2018/7/2,03:00,1.6, ,196680, ,446.98, ,448.12, ,100.0, 
2018/7/2,04:00,2.7, ,196500, ,427.59, ,446.48, ,100.0, 
2018/7/2,05:00,1.9, ,196200, ,377.34, ,443.80, ,100.0, 
2018/7/2,06:00,2.0, ,195900, ,359.61, ,441.08, ,100.0, 
2018/7/2,07:00,1.6, ,195540, ,341.92, ,399.08, ,100.0, 
2018/7/2,08:00,1.6, ,195420, ,317.99, ,319.34, ,100.0, 
2018/7/2,09:00,1.3, ,195480, ,307.03, ,299.74, ,100.0, 
2018/7/2,10:00,1.5, ,195540, ,325.45, ,320.30, ,100.0, 
2018/7/2,11:00,2.9, ,195540, ,330.97, ,334.18, ,100.0, 
2018/7/2,12:00,3.8, ,195420, ,314.33, ,333.36, ,100.0, 
2018/7/2,13:00,3.3, ,195300, ,296.94, ,332.60, ,100.0, 
2018/7/2,14:00,4.1, ,195180, ,301.41, ,331.82, ,100.0, 
2018/7/2,15:00,3.7, ,195060, ,304.05, ,331.06, ,100.0, 
2018/7/2,16:00,1.9, ,195060, ,311.78, ,331.06, ,100.0, 
2018/7/2,17:00,2.9, ,195120, ,338.57, ,331.34, ,100.0, 
2018/7/2,18:00,0.9, ,195120, ,345.80, ,347.20, ,100.0, 
2018/7/2,19:00,2.1, ,195060, ,339.81, ,346.68, ,100.0, 
2018/7/2,20:00,8.4, ,195000, ,312.99, ,300.60, ,100.0, 
2018/7/2,21:00,7.4, ,195000, ,300.51, ,300.60, ,100.0, 
2018/7/2,22:00,4.3, ,195240, ,324.58, ,301.96, ,100.0, 
2018/7/2,23:00,5.8, ,195480, ,438.30, ,422.36, ,100.0, 
2018/7/2,24:00,3.6, ,195480, ,447.75, ,448.92, ,100.0, 
2018/7/3,01:00,4.0, ,195360, ,416.25, ,447.88, ,100.0, 
2018/7/3,02:00,3.1, ,195240, ,386.54, ,400.90, ,100.0, 
2018/7/3,03:00,2.0, ,195120, ,375.91, ,399.92, ,100.0, 
2018/7/3,04:00,3.0, ,195060, ,347.95, ,354.48, ,100.0, 
2018/7/3,05:00,3.8, ,195000, ,312.83, ,329.44, ,100.0, 
2018/7/3,06:00,5.2, ,195060, ,361.75, ,329.72, ,100.0, 
2018/7/3,07:00,7.0, ,195180, ,391.54, ,382.38, ,100.0, 
2018/7/3,08:00,12.1, ,195360, ,444.54, ,433.14, ,100.0, 
2018/7/3,09:00,8.9, ,195480, ,504.26, ,487.68, ,100.0, 
2018/7/3,10:00,10.5, ,195720, ,652.50, ,635.68, ,100.0, 
2018/7/3,11:00,14.2, ,195900, ,718.35, ,718.52, ,100.0, 
2018/7/3,12:00,16.6, ,196140, ,821.24, ,795.18, ,100.0, 
2018/7/3,13:00,10.0, ,196500, ,918.62, ,834.82, ,100.0, 
2018/7/3,14:00,9.8, ,197160, ,1040.12, ,871.10, ,100.0, 
2018/7/3,15:00,10.9, ,197890, ,1064.43, ,873.94, ,100.0, 
2018/7/3,16:00,10.4, ,198490, ,1071.76, ,879.84, ,100.0, 
2018/7/3,17:00,6.2, ,199340, ,1080.50, ,882.74, ,100.0, 
2018/7/3,18:00,7.8, ,200130, ,1124.85, ,898.86, ,100.0, 
2018/7/3,19:00,12.5, ,200680, ,1052.85, ,896.40, ,100.0, 
2018/7/3,20:00,10.5, ,201350, ,1090.00, ,895.67, ,100.0, 
2018/7/3,21:00,13.7, ,202390, ,1208.54, ,923.68, ,100.0, 
2018/7/3,22:00,18.0, ,203860, ,1318.43, ,957.86, ,100.0, 
2018/7/3,23:00,12.6, ,205710, ,1536.38, ,1024.04, ,100.0, 
2018/7/3,24:00,19.6, ,207620, ,1544.52, ,1024.58, ,100.0, 
2018/7/4,01:00,10.4, ,210420, ,1846.70, ,1098.26, ,100.0, 
2018/7/4,02:00,19.9, ,213810, ,2126.69, ,1219.10, ,100.0, 
2018/7/4,03:00,13.3, ,217810, ,2353.60, ,1286.82, ,100.0, 
2018/7/4,04:00,9.6, ,220180, ,1904.36, ,1275.44, ,100.0, 
2018/7/4,05:00,3.3, ,221020, ,1477.87, ,1275.88, ,100.0, 
2018/7/4,06:00,5.0, ,220950, ,1246.77, ,1214.26, ,100.0, 
2018/7/4,07:00,0.4, ,220690, ,1015.76, ,948.97, ,100.0, 
2018/7/4,08:00,1.3, ,220760, ,919.54, ,900.23, ,100.0, 
2018/7/4,09:00,0.4, ,220570, ,845.90, ,898.41, ,100.0, 
2018/7/4,10:00,0.4, ,220050, ,716.41, ,796.12, ,100.0, 
2018/7/4,11:00,1.0, ,219790, ,629.74, ,698.04, ,100.0, 
2018/7/4,12:00,0.0, ,219350, ,568.30, ,694.82, ,100.0, 
2018/7/4,13:00,0.0, ,218900, ,514.51, ,647.08, ,100.0, 
2018/7/4,14:00,0.0, ,218510, ,471.93, ,577.44, ,100.0, 
2018/7/4,15:00,0.0, ,218130, ,433.27, ,518.78, ,100.0, 
2018/7/4,16:00,0.0, ,217810, ,415.20, ,517.22, ,100.0, 
2018/7/4,17:00,0.0, ,217430, ,387.75, ,448.12, ,100.0, 
2018/7/4,18:00,0.0, ,217300, ,392.34, ,447.68, ,100.0, 
2018/7/4,19:00,0.0, ,216920, ,359.44, ,445.96, ,100.0, 
2018/7/4,20:00,0.1, ,216600, ,344.61, ,443.67, ,100.0, 
2018/7/4,21:00,0.2, ,216220, ,332.06, ,441.99, ,100.0, 
2018/7/4,22:00,0.1, ,215710, ,288.74, ,388.22, ,100.0, 
2018/7/4,23:00,3.5, ,215330, ,254.07, ,354.51, ,100.0, 
2018/7/4,24:00,5.3, ,214950, ,253.65, ,352.50, ,100.0, 
2018/7/5,01:00,8.6, ,214700, ,276.84, ,351.48, ,100.0, 
2018/7/5,02:00,6.9, ,214570, ,320.76, ,350.93, ,100.0, 
2018/7/5,03:00,2.1, ,214510, ,331.54, ,379.40, ,100.0, 
2018/7/5,04:00,0.3, ,214380, ,423.97, ,509.74, ,100.0, 
2018/7/5,05:00,4.3, ,213880, ,336.65, ,447.50, ,100.0, 
2018/7/5,06:00,9.7, ,213560, ,346.12, ,446.00, ,100.0, 
2018/7/5,07:00,3.5, ,213180, ,356.31, ,444.24, ,100.0, 
2018/7/5,08:00,1.1, ,213060, ,399.48, ,443.54, ,100.0, 
2018/7/5,09:00,9.7, ,212740, ,418.47, ,493.00, ,100.0, 
2018/7/5,10:00,11.9, ,212610, ,469.41, ,512.11, ,100.0, 
2018/7/5,11:00,7.2, ,212550, ,613.10, ,703.45, ,100.0, 
2018/7/5,12:00,9.6, ,212180, ,614.42, ,700.15, ,100.0, 
2018/7/5,13:00,6.4, ,211860, ,585.73, ,697.37, ,100.0, 
2018/7/5,14:00,4.4, ,211740, ,684.63, ,759.28, ,100.0, 
2018/7/5,15:00,3.3, ,211420, ,666.10, ,777.20, ,100.0, 
2018/7/5,16:00,3.6, ,210860, ,620.68, ,718.45, ,100.0, 
2018/7/5,17:00,3.0, ,210480, ,573.46, ,647.73, ,100.0, 
2018/7/5,18:00,3.7, ,210170, ,554.08, ,645.19, ,100.0, 
2018/7/5,19:00,0.9, ,209740, ,536.14, ,641.38, ,100.0, 
2018/7/5,20:00,0.3, ,209300, ,489.35, ,598.51, ,100.0, 
2018/7/5,21:00,0.7, ,208740, ,451.25, ,548.80, ,100.0, 
2018/7/5,22:00,0.3, ,208240, ,413.93, ,545.21, ,100.0, 
2018/7/5,23:00,0.1, ,207810, ,375.90, ,495.70, ,100.0, 
2018/7/5,24:00,0.0, ,207440, ,351.49, ,447.82, ,100.0, 
2018/7/6,01:00,1.6, ,207010, ,327.55, ,445.30, ,100.0, 
2018/7/6,02:00,3.0, ,206700, ,310.70, ,399.16, ,100.0, 
2018/7/6,03:00,3.8, ,206330, ,299.65, ,397.34, ,100.0, 
2018/7/6,04:00,7.5, ,206020, ,301.31, ,395.64, ,100.0, 
2018/7/6,05:00,12.3, ,205770, ,346.88, ,394.52, ,100.0, 
2018/7/6,06:00,11.3, ,205650, ,415.90, ,499.04, ,100.0, 
2018/7/6,07:00,9.2, ,205460, ,540.37, ,599.28, ,100.0, 
2018/7/6,08:00,7.2, ,205340, ,677.92, ,748.74, ,100.0, 
2018/7/6,09:00,10.5, ,205280, ,715.38, ,748.50, ,100.0, 
2018/7/6,10:00,10.8, ,205210, ,767.38, ,788.82, ,100.0, 
2018/7/6,11:00,11.2, ,205400, ,845.57, ,807.94, ,100.0, 
2018/7/6,12:00,18.0, ,205710, ,899.46, ,823.92, ,100.0, 
2018/7/6,13:00,18.0, ,206700, ,1142.05, ,889.06, ,100.0, 
2018/7/6,14:00,13.2, ,208240, ,1352.30, ,968.00, ,100.0, 
2018/7/6,15:00,11.1, ,209740, ,1412.01, ,989.00, ,100.0, 
2018/7/6,16:00,7.1, ,210980, ,1333.59, ,989.30, ,100.0, 
2018/7/6,17:00,9.0, ,212050, ,1291.72, ,987.84, ,100.0, 
2018/7/6,18:00,5.2, ,212680, ,1156.95, ,988.64, ,100.0, 
2018/7/6,19:00,5.2, ,212680, ,970.77, ,988.54, ,100.0, 
2018/7/6,20:00,4.0, ,212360, ,915.13, ,984.40, ,100.0, 
2018/7/6,21:00,10.5, ,212240, ,943.79, ,988.94, ,100.0, 
2018/7/6,22:00,7.7, ,211860, ,877.97, ,985.94, ,100.0, 
2018/7/6,23:00,7.7, ,211610, ,843.50, ,832.94, ,100.0, 
2018/7/6,24:00,9.9, ,211800, ,906.82, ,857.38, ,100.0, 
2018/7/7,01:00,19.7, ,211990, ,953.75, ,923.20, ,100.0, 
2018/7/7,02:00,24.6, ,213500, ,1373.12, ,985.42, ,100.0, 
2018/7/7,03:00,14.1, ,216220, ,1812.31, ,1122.90, ,100.0, 
2018/7/7,04:00,28.6, ,218000, ,1589.16, ,1124.54, ,100.0, 
2018/7/7,05:00,29.9, ,221470, ,2116.56, ,1176.86, ,100.0, 
2018/7/7,06:00,23.7, ,225740, ,2486.57, ,1301.96, ,100.0, 
2018/7/7,07:00,14.1, ,230160, ,2562.78, ,1340.46, ,100.0, 
2018/7/7,08:00,14.5, ,233260, ,2207.07, ,1342.78, ,100.0, 
2018/7/7,09:00,13.4, ,235930, ,2081.15, ,1346.03, ,100.0, 
2018/7/7,10:00,5.2, ,238210, ,1999.13, ,1347.40, ,100.0, 
2018/7/7,11:00,5.2, ,239490, ,1688.41, ,1348.08, ,100.0, 
2018/7/7,12:00,6.5, ,239820, ,1425.38, ,1347.49, ,100.0, 
2018/7/7,13:00,3.6, ,239620, ,1239.58, ,1192.39, ,100.0, 
2018/7/7,14:00,1.8, ,239490, ,1109.48, ,1047.19, ,100.0, 
2018/7/7,15:00,4.7, ,239490, ,967.14, ,897.41, ,100.0, 
2018/7/7,16:00,2.9, ,239550, ,904.40, ,849.53, ,100.0, 
2018/7/7,17:00,0.3, ,239550, ,832.72, ,823.14, ,100.0, 
2018/7/7,18:00,0.5, ,239420, ,757.45, ,796.74, ,100.0, 
