îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2016/9/1,01:00,0.0, ,67310, ,7.03, ,31.70, ,38.6, 
2016/9/1,02:00,0.0, ,67240, ,10.00, ,27.90, ,38.6, 
2016/9/1,03:00,0.0, ,67170, ,8.87, ,27.90, ,38.5, 
2016/9/1,04:00,0.0, ,67100, ,5.35, ,27.90, ,38.5, 
2016/9/1,05:00,0.0, ,67000, ,5.68, ,28.00, ,38.4, 
2016/9/1,06:00,0.0, ,66930, ,2.47, ,27.90, ,38.4, 
2016/9/1,07:00,0.0, ,66820, ,2.26, ,26.20, ,38.3, 
2016/9/1,08:00,0.0, ,66720, ,3.01, ,26.00, ,38.2, 
2016/9/1,09:00,0.0, ,66650, ,2.56, ,25.90, ,38.2, 
2016/9/1,10:00,0.0, ,66550, ,1.63, ,26.20, ,38.1, 
2016/9/1,11:00,0.0, ,66480, ,3.63, ,18.80, ,38.1, 
2016/9/1,12:00,0.0, ,66480, ,7.47, ,18.50, ,38.1, 
2016/9/1,13:00,0.0, ,66410, ,8.80, ,18.70, ,38.0, 
2016/9/1,14:00,0.0, ,66270, ,6.85, ,46.70, ,37.9, 
2016/9/1,15:00,0.0, ,66100, ,5.69, ,53.80, ,37.8, 
2016/9/1,16:00,0.0, ,65930, ,5.33, ,53.60, ,37.7, 
2016/9/1,17:00,0.0, ,65750, ,4.68, ,53.60, ,37.6, 
2016/9/1,18:00,0.0, ,65580, ,4.58, ,53.50, ,37.5, 
2016/9/1,19:00,0.0, ,65380, ,5.37, ,53.40, ,37.3, 
2016/9/1,20:00,0.0, ,65200, ,4.31, ,53.70, ,37.2, 
2016/9/1,21:00,0.0, ,65030, ,3.78, ,48.70, ,37.1, 
2016/9/1,22:00,0.0, ,64960, ,5.61, ,31.90, ,37.0, 
2016/9/1,23:00,0.0, ,64900, ,5.34, ,22.40, ,37.0, 
2016/9/1,24:00,0.0, ,64860, ,5.74, ,18.80, ,37.0, 
2016/9/2,01:00,0.0, ,64790, ,7.23, ,25.20, ,36.9, 
2016/9/2,02:00,0.0, ,64720, ,5.33, ,24.40, ,36.9, 
2016/9/2,03:00,0.0, ,64620, ,4.88, ,24.80, ,36.8, 
2016/9/2,04:00,0.0, ,64550, ,4.76, ,24.50, ,36.8, 
2016/9/2,05:00,0.0, ,64490, ,3.80, ,24.30, ,36.7, 
2016/9/2,06:00,0.0, ,64380, ,2.69, ,24.40, ,36.6, 
2016/9/2,07:00,0.0, ,64280, ,2.31, ,28.40, ,36.6, 
2016/9/2,08:00,0.0, ,64210, ,0.64, ,24.80, ,36.5, 
2016/9/2,09:00,0.0, ,64110, ,2.09, ,24.50, ,36.5, 
2016/9/2,10:00,0.0, ,64010, ,1.98, ,24.40, ,36.4, 
2016/9/2,11:00,0.0, ,63940, ,1.87, ,24.40, ,36.3, 
2016/9/2,12:00,0.0, ,63870, ,3.46, ,24.70, ,36.3, 
