îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2023/10/1,01:00,0.0, ,168650, ,9.97, ,0.00, ,96.3, 
2023/10/1,02:00,0.0, ,168650, ,5.37, ,0.00, ,96.3, 
2023/10/1,03:00,0.0, ,168650, ,0.00, ,0.00, ,96.2, 
2023/10/1,04:00,0.0, ,168650, ,0.00, ,0.00, ,96.2, 
2023/10/1,05:00,0.0, ,168650, ,0.00, ,0.00, ,96.2, 
2023/10/1,06:00,0.0, ,168700, ,5.65, ,18.70, ,96.2, 
2023/10/1,07:00,0.0, ,168650, ,18.76, ,47.00, ,96.1, 
2023/10/1,08:00,0.0, ,168420, ,5.36, ,57.30, ,95.9, 
2023/10/1,09:00,0.0, ,168260, ,6.83, ,52.20, ,95.8, 
2023/10/1,10:00,0.0, ,168150, ,6.21, ,36.80, ,95.7, 
2023/10/1,11:00,0.0, ,168090, ,11.61, ,20.90, ,95.6, 
2023/10/1,12:00,0.0, ,168090, ,9.75, ,0.00, ,95.6, 
2023/10/1,13:00,0.0, ,168090, ,0.00, ,0.00, ,95.6, 
2023/10/1,14:00,0.0, ,168150, ,5.62, ,0.00, ,95.6, 
2023/10/1,15:00,0.0, ,168200, ,10.21, ,0.00, ,95.6, 
2023/10/1,16:00,0.0, ,168200, ,14.84, ,19.60, ,95.5, 
2023/10/1,17:00,0.0, ,168200, ,15.56, ,41.60, ,95.5, 
2023/10/1,18:00,0.0, ,167980, ,9.55, ,51.60, ,95.3, 
2023/10/1,19:00,0.0, ,167820, ,9.76, ,57.20, ,95.2, 
2023/10/1,20:00,0.0, ,167710, ,6.78, ,38.00, ,95.1, 
2023/10/1,21:00,0.0, ,167650, ,11.07, ,19.20, ,95.0, 
2023/10/1,22:00,0.0, ,167600, ,0.00, ,0.00, ,95.0, 
2023/10/1,23:00,0.0, ,167600, ,0.00, ,0.00, ,94.9, 
2023/10/1,24:00,0.0, ,167650, ,15.29, ,0.00, ,95.0, 
2023/10/2,01:00,0.0, ,167650, ,0.00, ,0.00, ,95.0, 
2023/10/2,02:00,0.0, ,167650, ,0.00, ,0.00, ,95.0, 
2023/10/2,03:00,0.0, ,167650, ,0.00, ,0.00, ,95.0, 
2023/10/2,04:00,0.0, ,167650, ,0.00, ,0.00, ,94.9, 
2023/10/2,05:00,0.0, ,167650, ,0.00, ,0.00, ,94.9, 
2023/10/2,06:00,0.0, ,167710, ,7.67, ,19.50, ,94.9, 
2023/10/2,07:00,0.0, ,167650, ,17.82, ,38.30, ,94.8, 
2023/10/2,08:00,0.0, ,167490, ,5.52, ,48.90, ,94.7, 
2023/10/2,09:00,0.0,-,167320, ,6.55, ,36.70, ,94.6, 
2023/10/2,10:00,0.0,-,167270, ,3.08, ,19.40, ,94.5, 
2023/10/2,11:00,0.0,-,167270, ,7.05, ,0.00, ,94.5, 
