îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2013/2/1,01:00,0.0, ,139020, ,5.50, ,0.00, ,100.0, 
2013/2/1,02:00,0.0, ,139020, ,8.26, ,0.00, ,100.0, 
2013/2/1,03:00,0.0, ,139020, ,0.00, ,0.00, ,100.0, 
2013/2/1,04:00,0.0, ,139020, ,0.00, ,0.00, ,100.0, 
2013/2/1,05:00,0.0, ,139070, ,0.69, ,0.00, ,100.0, 
2013/2/1,06:00,0.0, ,139070, ,13.07, ,0.00, ,100.0, 
2013/2/1,07:00,0.0, ,139070, ,0.00, ,0.00, ,100.0, 
2013/2/1,08:00,0.0, ,139120, ,3.67, ,0.00, ,100.0, 
2013/2/1,09:00,0.0, ,139120, ,10.10, ,0.00, ,100.0, 
2013/2/1,10:00,0.0, ,139170, ,12.85, ,0.00, ,100.0, 
2013/2/1,11:00,0.0, ,139220, ,8.03, ,0.00, ,100.0, 
2013/2/1,12:00,0.0, ,139270, ,8.03, ,0.00, ,100.0, 
2013/2/1,13:00,0.0, ,139270, ,12.39, ,0.00, ,100.0, 
2013/2/1,14:00,0.1, ,139320, ,9.65, ,0.00, ,100.0, 
2013/2/1,15:00,0.9, ,139370, ,8.50, ,0.00, ,100.0, 
2013/2/1,16:00,2.8, ,139370, ,9.45, ,2.10, ,100.0, 
2013/2/1,17:00,3.6, ,139370, ,9.57, ,20.60, ,100.0, 
2013/2/1,18:00,3.1, ,139270, ,26.21, ,49.70, ,100.0, 
2013/2/1,19:00,2.4, ,139120, ,15.69, ,63.40, ,100.0, 
2013/2/1,20:00,4.2, ,139070, ,20.30, ,38.40, ,100.0, 
2013/2/1,21:00,5.0, ,138970, ,14.72, ,38.60, ,100.0, 
2013/2/1,22:00,6.0, ,138920, ,24.49, ,32.10, ,100.0, 
2013/2/1,23:00,3.7, ,138970, ,14.97, ,0.00, ,100.0, 
2013/2/1,24:00,4.5, ,139070, ,26.83, ,0.00, ,100.0, 
2013/2/2,01:00,1.9, ,139220, ,33.04, ,0.00, ,100.0, 
2013/2/2,02:00,1.8, ,139320, ,31.67, ,0.00, ,100.0, 
2013/2/2,03:00,0.8, ,139510, ,44.78, ,0.00, ,100.0, 
2013/2/2,04:00,0.7, ,139710, ,49.63, ,0.00, ,100.0, 
2013/2/2,05:00,0.1, ,139860, ,45.76, ,0.00, ,100.0, 
2013/2/2,06:00,0.2, ,140010, ,43.02, ,0.00, ,100.0, 
2013/2/2,07:00,0.0, ,140110, ,36.67, ,4.50, ,100.0, 
2013/2/2,08:00,0.0, ,140160, ,36.95, ,32.50, ,100.0, 
2013/2/2,09:00,0.0, ,140110, ,46.51, ,60.80, ,100.0, 
2013/2/2,10:00,0.0, ,140010, ,35.40, ,63.40, ,100.0, 
2013/2/2,11:00,0.1, ,139860, ,31.74, ,63.90, ,100.0, 
2013/2/2,12:00,0.0, ,139760, ,30.68, ,54.00, ,100.0, 
2013/2/2,13:00,0.0, ,139760, ,18.72, ,0.00, ,100.0, 
2013/2/2,14:00,0.0, ,139860, ,17.94, ,0.00, ,100.0, 
2013/2/2,15:00,0.0, ,139960, ,27.15, ,0.00, ,100.0, 
2013/2/2,16:00,0.0, ,140060, ,23.99, ,3.00, ,100.0, 
2013/2/2,17:00,0.0, ,140060, ,29.05, ,32.20, ,100.0, 
2013/2/2,18:00,0.0, ,139960, ,26.05, ,60.60, ,100.0, 
2013/2/2,19:00,0.0, ,139810, ,26.38, ,64.10, ,100.0, 
2013/2/2,20:00,0.0, ,139660, ,22.82, ,64.40, ,100.0, 
2013/2/2,21:00,0.0, ,139510, ,22.42, ,52.20, ,100.0, 
2013/2/2,22:00,0.0, ,139510, ,17.51, ,0.00, ,100.0, 
2013/2/2,23:00,0.0, ,139560, ,9.42, ,0.00, ,100.0, 
2013/2/2,24:00,0.0, ,139660, ,22.52, ,0.00, ,100.0, 
2013/2/3,01:00,0.0, ,139710, ,18.62, ,0.00, ,100.0, 
2013/2/3,02:00,0.0, ,139760, ,13.11, ,0.00, ,100.0, 
2013/2/3,03:00,0.0, ,139860, ,21.62, ,0.00, ,100.0, 
2013/2/3,04:00,0.0, ,139910, ,18.18, ,0.00, ,100.0, 
2013/2/3,05:00,0.0, ,139960, ,13.12, ,0.00, ,100.0, 
2013/2/3,06:00,0.0, ,140010, ,17.49, ,0.00, ,100.0, 
2013/2/3,07:00,0.0, ,140110, ,20.55, ,3.90, ,100.0, 
2013/2/3,08:00,0.0, ,140110, ,26.33, ,31.30, ,100.0, 
2013/2/3,09:00,0.0, ,139960, ,21.18, ,60.90, ,100.0, 
2013/2/3,11:00,0.0, ,139610, ,18.66, ,63.80, ,100.0, 
2013/2/3,12:00,0.0, ,139460, ,15.78, ,54.40, ,99.8, 
2013/2/3,13:00,0.0, ,139460, ,8.86, ,0.00, ,99.8, 
2013/2/3,14:00,0.0, ,139510, ,9.65, ,0.00, ,99.9, 
2013/2/3,15:00,0.0, ,139560, ,17.01, ,0.00, ,99.9, 
2013/2/3,16:00,0.0, ,139660, ,13.14, ,2.40, ,100.0, 
2013/2/3,17:00,0.0, ,139610, ,26.91, ,32.10, ,100.0, 
2013/2/3,18:00,0.0, ,139460, ,20.33, ,60.30, ,99.8, 
2013/2/3,19:00,0.0, ,139320, ,18.14, ,61.70, ,99.7, 
2013/2/3,20:00,0.0, ,139170, ,18.90, ,62.10, ,99.5, 
2013/2/3,21:00,0.0, ,138970, ,16.78, ,61.70, ,99.3, 
2013/2/3,22:00,0.0, ,138870, ,18.19, ,61.90, ,99.2, 
2013/2/3,23:00,0.0, ,138670, ,18.34, ,50.40, ,99.0, 
2013/2/3,24:00,0.0, ,138670, ,5.24, ,0.00, ,100.0, 
2013/2/4,01:00,0.0, ,138770, ,10.31, ,0.00, ,100.0, 
2013/2/4,02:00,0.3, ,138770, ,17.18, ,0.00, ,100.0, 
2013/2/4,03:00,0.3, ,138870, ,15.13, ,0.00, ,100.0, 
