îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2015/9/1,01:00,12.6, ,176990, ,109.35, ,59.90, ,100.0, 
2015/9/1,02:00,4.1, ,177500, ,168.78, ,60.00, ,100.0, 
2015/9/1,03:00,6.2, ,178350, ,262.43, ,59.80, ,100.0, 
2015/9/1,04:00,6.0, ,179090, ,274.99, ,59.70, ,100.0, 
2015/9/1,05:00,3.2, ,180120, ,298.59, ,59.70, ,100.0, 
2015/9/1,06:00,1.8, ,181270, ,365.83, ,59.40, ,100.0, 
2015/9/1,07:00,0.9, ,182300, ,370.99, ,59.20, ,100.0, 
2015/9/1,08:00,1.2, ,183230, ,323.58, ,59.00, ,100.0, 
2015/9/1,09:00,0.2, ,184040, ,294.44, ,58.70, ,100.0, 
2015/9/1,10:00,0.0, ,184800, ,278.92, ,58.80, ,100.0, 
2015/9/1,11:00,0.1, ,185440, ,252.78, ,58.90, ,100.0, 
2015/9/1,12:00,2.4, ,186020, ,235.31, ,58.90, ,100.0, 
2015/9/1,13:00,15.5, ,186660, ,224.13, ,58.70, ,100.0, 
2015/9/1,14:00,1.9, ,187480, ,255.76, ,58.30, ,100.0, 
2015/9/1,15:00,0.0, ,188420, ,315.98, ,128.04, ,100.0, 
2015/9/1,16:00,0.0, ,189190, ,314.56, ,77.74, ,100.0, 
2015/9/1,17:00,0.0, ,189830, ,268.98, ,61.18, ,100.0, 
2015/9/1,18:00,0.0, ,190420, ,242.85, ,61.34, ,100.0, 
2015/9/1,19:00,0.0, ,191010, ,219.80, ,61.28, ,100.0, 
2015/9/1,20:00,0.0, ,191490, ,210.48, ,61.52, ,100.0, 
2015/9/1,21:00,0.1, ,192020, ,200.74, ,60.96, ,100.0, 
2015/9/1,22:00,0.5, ,192380, ,183.87, ,61.30, ,100.0, 
2015/9/1,23:00,0.6, ,192730, ,164.78, ,60.65, ,100.0, 
2015/9/1,24:00,1.1, ,193090, ,154.26, ,60.78, ,100.0, 
2015/9/2,01:00,0.8, ,193390, ,155.32, ,60.60, ,100.0, 
2015/9/2,02:00,0.2, ,193750, ,152.63, ,60.42, ,100.0, 
2015/9/2,03:00,0.0, ,194040, ,150.74, ,60.45, ,100.0, 
2015/9/2,04:00,0.0, ,194340, ,144.21, ,60.57, ,100.0, 
2015/9/2,05:00,0.0, ,194580, ,134.65, ,60.28, ,100.0, 
2015/9/2,06:00,0.0, ,194820, ,126.66, ,60.40, ,100.0, 
2015/9/2,07:00,0.0, ,195060, ,125.30, ,60.41, ,100.0, 
2015/9/2,08:00,0.0, ,195240, ,118.10, ,61.22, ,100.0, 
2015/9/2,09:00,0.0, ,195480, ,119.27, ,60.33, ,100.0, 
2015/9/2,10:00,0.0, ,195600, ,110.85, ,61.16, ,100.0, 
2015/9/2,11:00,0.0, ,195780, ,106.54, ,60.86, ,100.0, 
2015/9/2,12:00,0.0, ,195960, ,102.86, ,61.08, ,100.0, 
2015/9/2,13:00,0.0, ,196080, ,101.20, ,60.78, ,100.0, 
2015/9/2,14:00,0.5, ,196200, ,99.26, ,61.00, ,100.0, 
2015/9/2,15:00,0.1, ,196320, ,89.57, ,60.90, ,100.0, 
2015/9/2,16:00,0.1, ,196380, ,90.47, ,70.84, ,100.0, 
2015/9/2,17:00,0.0, ,196440, ,89.17, ,70.96, ,100.0, 
2015/9/2,18:00,0.0, ,196500, ,82.15, ,70.68, ,100.0, 
2015/9/2,19:00,0.0, ,196560, ,84.76, ,80.76, ,100.0, 
2015/9/2,20:00,0.0, ,196560, ,90.69, ,80.46, ,100.0, 
2015/9/2,21:00,0.0, ,196560, ,80.54, ,80.66, ,100.0, 
2015/9/2,22:00,0.0, ,196560, ,80.61, ,80.86, ,100.0, 
2015/9/2,23:00,0.0, ,196560, ,80.57, ,80.76, ,100.0, 
2015/9/2,24:00,0.0, ,196560, ,80.60, ,80.56, ,100.0, 
2015/9/3,01:00,0.1, ,196500, ,60.78, ,64.72, ,100.0, 
