îCà”ä˙ä‘É_ÉÄèîó åüçıåãâ 
êÖånñº,ãgñÏêÏ
âÕêÏñº,ãgñÏêÏ
äœë™èäñº,ëÅñæâYÉ_ÉÄÅiã@ç\Åj
äœë™èäãLçÜ,1368080700010
#
#îNåéì˙,éûçè,ó¨àÊïΩãœâJó ,ó¨àÊïΩãœâJó ëÆê´,íôêÖó ,íôêÖó ëÆê´,ó¨ì¸ó ,ó¨ì¸ó ëÆê´,ï˙ó¨ó ,ï˙ó¨ó ëÆê´,íôêÖó¶,íôêÖó¶ëÆê´
#ëÆê´Å@$:åáë™ -:ñ¢éÛêM
#
2017/11/1,01:00,0.0, ,203670, ,29.12, ,55.90, ,100.0, 
2017/11/1,02:00,0.0, ,203550, ,22.87, ,55.90, ,100.0, 
2017/11/1,03:00,0.0, ,203430, ,24.28, ,55.80, ,100.0, 
2017/11/1,04:00,0.0, ,203250, ,20.58, ,55.90, ,100.0, 
2017/11/1,05:00,0.0, ,203120, ,17.17, ,55.90, ,100.0, 
2017/11/1,06:00,0.0, ,203000, ,16.61, ,55.70, ,100.0, 
2017/11/1,07:00,0.0, ,202880, ,18.87, ,56.50, ,100.0, 
2017/11/1,08:00,0.0, ,202750, ,19.59, ,56.40, ,100.0, 
2017/11/1,09:00,0.0, ,202630, ,25.85, ,56.60, ,100.0, 
2017/11/1,10:00,0.0, ,202510, ,19.90, ,56.60, ,100.0, 
2017/11/1,11:00,0.0, ,202390, ,23.30, ,56.60, ,100.0, 
2017/11/1,12:00,0.0, ,202260, ,29.56, ,56.60, ,100.0, 
2017/11/1,13:00,0.0, ,202200, ,26.75, ,56.60, ,100.0, 
2017/11/1,14:00,0.0, ,202080, ,25.09, ,56.60, ,100.0, 
2017/11/1,15:00,0.0, ,201960, ,24.83, ,56.40, ,100.0, 
2017/11/1,16:00,0.0, ,201840, ,27.06, ,56.50, ,100.0, 
2017/11/1,17:00,0.0, ,201710, ,26.80, ,56.50, ,100.0, 
2017/11/1,18:00,0.0, ,201590, ,24.22, ,56.40, ,100.0, 
2017/11/1,19:00,0.0, ,201470, ,23.63, ,56.50, ,100.0, 
2017/11/1,20:00,0.0, ,201350, ,22.77, ,56.40, ,100.0, 
2017/11/1,21:00,0.0, ,201290, ,23.35, ,56.40, ,100.0, 
2017/11/1,22:00,0.0, ,201160, ,25.64, ,56.40, ,100.0, 
2017/11/1,23:00,0.0, ,201040, ,23.68, ,56.60, ,100.0, 
2017/11/1,24:00,0.0, ,200920, ,22.98, ,56.70, ,100.0, 
2017/11/2,01:00,0.0, ,200800, ,25.02, ,56.60, ,100.0, 
2017/11/2,02:00,0.0, ,200680, ,21.32, ,56.60, ,100.0, 
2017/11/2,03:00,0.0, ,200490, ,21.62, ,56.40, ,100.0, 
2017/11/2,04:00,0.0, ,200370, ,14.48, ,56.40, ,100.0, 
2017/11/2,05:00,0.0, ,200250, ,13.60, ,56.40, ,100.0, 
2017/11/2,06:00,0.0, ,200070, ,13.03, ,56.40, ,100.0, 
2017/11/2,07:00,0.0, ,199880, ,13.87, ,56.30, ,100.0, 
2017/11/2,08:00,0.0, ,199760, ,11.01, ,56.20, ,100.0, 
2017/11/2,09:00,0.0, ,199640, ,20.85, ,56.40, ,100.0, 
2017/11/2,10:00,0.0, ,199520, ,18.95, ,56.30, ,100.0, 
2017/11/2,11:00,0.0, ,199340, ,21.22, ,56.40, ,100.0, 
2017/11/2,12:00,0.0, ,199280, ,22.09, ,56.30, ,100.0, 
2017/11/2,13:00,0.0, ,199160, ,24.04, ,56.50, ,100.0, 
2017/11/2,14:00,0.0, ,199040, ,22.81, ,57.60, ,100.0, 
2017/11/2,15:00,0.0, ,198910, ,23.93, ,57.50, ,100.0, 
2017/11/2,16:00,0.0, ,198730, ,22.43, ,57.50, ,100.0, 
2017/11/2,17:00,0.0, ,198610, ,22.15, ,57.50, ,100.0, 
2017/11/2,18:00,0.0, ,198490, ,21.03, ,57.40, ,100.0, 
2017/11/2,19:00,0.0, ,198370, ,22.13, ,57.30, ,100.0, 
2017/11/2,20:00,0.0, ,198250, ,21.23, ,57.40, ,100.0, 
2017/11/2,21:00,0.0, ,198130, ,21.81, ,57.30, ,100.0, 
2017/11/2,22:00,0.0, ,198010, ,20.98, ,57.40, ,100.0, 
2017/11/2,23:00,0.0, ,197830, ,18.50, ,57.50, ,100.0, 
2017/11/2,24:00,0.0, ,197700, ,22.77, ,19.90, ,100.0, 
2017/11/3,01:00,0.0, ,197700, ,14.17, ,19.60, ,100.0, 
2017/11/3,02:00,0.0, ,197700, ,19.57, ,19.60, ,100.0, 
2017/11/3,03:00,0.0, ,197640, ,15.35, ,45.00, ,100.0, 
2017/11/3,04:00,0.0, ,197580, ,12.24, ,50.20, ,100.0, 
2017/11/3,05:00,0.0, ,197340, ,8.88, ,57.50, ,100.0, 
2017/11/3,06:00,0.0, ,197220, ,14.40, ,44.60, ,100.0, 
2017/11/3,07:00,0.0, ,197100, ,8.95, ,26.20, ,100.0, 
2017/11/3,08:00,0.0, ,197040, ,11.84, ,19.40, ,100.0, 
2017/11/3,09:00,0.0, ,197040, ,5.61, ,19.80, ,100.0, 
2017/11/3,10:00,0.0, ,197040, ,19.54, ,19.50, ,100.0, 
2017/11/3,11:00,0.0, ,197040, ,19.55, ,19.50, ,100.0, 
2017/11/3,12:00,0.0, ,197040, ,19.57, ,19.60, ,100.0, 
2017/11/3,13:00,0.0, ,197040, ,19.57, ,19.70, ,100.0, 
2017/11/3,14:00,0.0, ,196980, ,4.53, ,19.50, ,100.0, 
2017/11/3,15:00,0.0, ,196980, ,17.86, ,19.60, ,100.0, 
2017/11/3,16:00,0.0, ,196980, ,19.53, ,45.60, ,100.0, 
2017/11/3,17:00,0.0, ,196860, ,22.57, ,50.40, ,100.0, 
2017/11/3,18:00,0.0, ,196740, ,21.16, ,57.30, ,100.0, 
2017/11/3,19:00,0.0, ,196620, ,19.48, ,57.40, ,100.0, 
2017/11/3,20:00,0.0, ,196500, ,22.01, ,57.50, ,100.0, 
2017/11/3,21:00,0.0, ,196320, ,16.75, ,57.40, ,100.0, 
2017/11/3,22:00,0.0, ,196200, ,18.99, ,30.90, ,100.0, 
2017/11/3,23:00,0.0, ,196200, ,20.75, ,26.60, ,100.0, 
2017/11/3,24:00,0.0, ,196140, ,12.57, ,19.30, ,100.0, 
2017/11/4,01:00,0.0, ,196140, ,13.86, ,19.10, ,100.0, 
2017/11/4,02:00,0.0, ,196140, ,19.14, ,19.20, ,100.0, 
2017/11/4,03:00,0.0, ,196080, ,13.86, ,19.10, ,100.0, 
2017/11/4,04:00,0.0, ,196080, ,7.76, ,39.60, ,100.0, 
2017/11/4,05:00,0.0, ,195960, ,8.10, ,42.60, ,100.0, 
2017/11/4,06:00,0.0, ,195780, ,11.44, ,45.30, ,100.0, 
2017/11/4,07:00,0.0, ,195660, ,7.69, ,21.50, ,100.0, 
2017/11/4,08:00,0.0, ,195660, ,10.13, ,19.60, ,100.0, 
2017/11/4,09:00,0.0, ,195600, ,2.97, ,19.70, ,100.0, 
2017/11/4,10:00,0.0, ,195600, ,19.60, ,19.60, ,100.0, 
2017/11/4,11:00,0.0, ,195540, ,13.20, ,19.60, ,100.0, 
2017/11/4,12:00,0.0, ,195540, ,9.32, ,19.60, ,100.0, 
2017/11/4,13:00,0.0, ,195540, ,19.61, ,19.70, ,100.0, 
2017/11/4,14:00,0.0, ,195480, ,7.16, ,19.70, ,100.0, 
